,Address,Area,Baths,Beds,Features,Half Bath,Locality,Price
0,0 Gateway,,,,,,"Rock Springs, WY 82901","$725,000"
1,1003 Winchester Blvd.,,4,4,0.21 Acres,,"Rock Springs, WY 82901","$452,900"
2,600 Talladega,"3,154",3,5,,,"Rock Springs, WY 82901","$396,900"
3,3239 Spearhead Way,"3,076",3,4,"Under 1/2 Acre, ",1,"Rock Springs, WY 82901","$389,900"
4,522 Emerald Street,"1,172",3,3,"Under 1/2 Acre, ",,"Rock Springs, WY 82901","$254,000"
5,1302 Veteran's Drive,"1,932",2,4,0.27 Acres,,"Rock Springs, WY 82901","$252,900"
6,1021 Cypress Cir,"1,676",3,4,"Under 1/2 Acre, ",,"Rock Springs, WY 82901","$210,000"
7,913 Madison Dr,"1,344",2,3,"Under 1/2 Acre, ",,"Rock Springs, WY 82901","$209,000"
8,1344 Teton Street,"1,920",2,3,"Under 1/2 Acre, ",,"Rock Springs, WY 82901","$199,900"
9,4 Minnies Lane,"1,664",2,3,2.02 Acres,,"Rock Springs, WY 82901","$196,900"
